recordings with the correct label but longer than 1 are:                                                                   sequence_num labels  length_s
C1-2_file_1_390_(2013_06_11-05_15_32)_BSWMUW29297 - Copy - Copy - Copy_HTC_167    HTC  1.066939
       C1-2_file_1_579_(2013_06_11-11_06_29)_BSWMUW29297 - Copy - Copy_HTC_014    HTC  1.010068
       C1-2_file_1_716_(2013_06_11-19_11_20)_BSWMUW29297 - Copy - Copy_HTC_006    HTC  1.062222
C1-2_file_1_488_(2013_06_11-08_01_46)_BSWMUW29297 - Copy - Copy - Copy_HTC_051    HTC  1.118095
C1-2_file_1_622_(2013_06_11-15_13_51)_BSWMUW29297 - Copy - Copy - Copy_HTC_047    HTC  1.277234
C1-2_file_1_557_(2013_06_11-09_58_59)_BSWMUW29297 - Copy - Copy - Copy_HTC_016    HTC  1.036236
              C1-2_file_1_622_(2013_06_11-15_13_51)_BSWMUW29297 - Copy_HTC_047    HTC  1.277234
       C1-2_file_1_660_(2013_06_11-17_06_37)_BSWMUW29297 - Copy - Copy_HTC_056    HTC  1.123311
C1-2_file_1_390_(2013_06_11-05_15_32)_BSWMUW29297 - Copy - Copy - Copy_HTC_079    HTC  1.161043
C1-2_file_1_578_(2013_06_11-11_04_56)_BSWMUW29297 - Copy - Copy - Copy_HTC_017    HTC  1.126395
       C1-2_file_1_557_(2013_06_11-09_58_59)_BSWMUW29297 - Copy - Copy_HTC_033    HTC  1.599320
       C1-2_file_1_411_(2013_06_11-05_44_23)_BSWMUW29297 - Copy - Copy_HTC_091    HTC  1.275102
C1-2_file_1_622_(2013_06_11-15_13_51)_BSWMUW29297 - Copy - Copy - Copy_HTC_067    HTC  1.015918
C1-2_file_1_390_(2013_06_11-05_15_32)_BSWMUW29297 - Copy - Copy - Copy_HTC_080    HTC  1.018821
C1-2_file_1_176_(2013_06_10-15_27_43)_BSWMUW29297 - Copy - Copy - Copy_HTC_013    HTC  1.155193
       C1-2_file_1_558_(2013_06_11-10_00_47)_BSWMUW29297 - Copy - Copy_HTC_007    HTC  1.004263
       C1-2_file_1_660_(2013_06_11-17_06_37)_BSWMUW29297 - Copy - Copy_HTC_060    HTC  1.024535
              C1-2_file_1_622_(2013_06_11-15_13_51)_BSWMUW29297 - Copy_HTC_067    HTC  1.015918
C1-2_file_1_623_(2013_06_11-15_17_03)_BSWMUW29297 - Copy - Copy - Copy_HTC_006    HTC  1.120363
C1-2_file_1_474_(2013_06_11-07_33_32)_BSWMUW29297 - Copy - Copy - Copy_HTC_044    HTC  1.198821
C1-2_file_1_485_(2013_06_11-07_56_56)_BSWMUW29297 - Copy - Copy - Copy_HTC_038    HTC  1.095828
              C1-2_file_1_601_(2013_06_11-12_48_44)_BSWMUW29297 - Copy_HTC_061    HTC  1.176281
             C1-2_file_1_1122_(2013_06_12-17_19_01)_BSWMUW29297 - Copy_HTC_014    HTC  1.059410
       C1-2_file_1_474_(2013_06_11-07_33_32)_BSWMUW29297 - Copy - Copy_HTC_044    HTC  1.198821
       C1-2_file_1_578_(2013_06_11-11_04_56)_BSWMUW29297 - Copy - Copy_HTC_017    HTC  1.126395
              C1-2_file_1_579_(2013_06_11-11_06_29)_BSWMUW29297 - Copy_HTC_014    HTC  1.010068
                    C1-2_file_1_1132_(2013_06_12-17_33_58)_BSWMUW29297_HTC_011    HTC  1.084989
             C1-2_file_1_1079_(2013_06_12-16_15_56)_BSWMUW29297 - Copy_HTC_026    HTC  1.064082
       C1-2_file_1_622_(2013_06_11-15_13_51)_BSWMUW29297 - Copy - Copy_HTC_060    HTC  1.726984
       C1-2_file_1_475_(2013_06_11-07_41_04)_BSWMUW29297 - Copy - Copy_HTC_003    HTC  1.092517
C1-2_file_1_622_(2013_06_11-15_13_51)_BSWMUW29297 - Copy - Copy - Copy_HTC_031    HTC  1.011882
C1-2_file_1_601_(2013_06_11-12_48_44)_BSWMUW29297 - Copy - Copy - Copy_HTC_061    HTC  1.176281
              C1-2_file_1_622_(2013_06_11-15_13_51)_BSWMUW29297 - Copy_HTC_066    HTC  1.148027
              C1-2_file_1_622_(2013_06_11-15_13_51)_BSWMUW29297 - Copy_HTC_031    HTC  1.011882
C1-2_file_1_622_(2013_06_11-15_13_51)_BSWMUW29297 - Copy - Copy - Copy_HTC_066    HTC  1.148027
C1-2_file_1_154_(2013_06_10-14_49_45)_BSWMUW29297 - Copy - Copy - Copy_HTC_020    HTC  1.068707
              C1-2_file_1_578_(2013_06_11-11_04_56)_BSWMUW29297 - Copy_HTC_030    HTC  1.280000
C1-2_file_1_488_(2013_06_11-08_01_46)_BSWMUW29297 - Copy - Copy - Copy_HTC_050    HTC  1.068209
       C1-2_file_1_716_(2013_06_11-19_11_20)_BSWMUW29297 - Copy - Copy_HTC_007    HTC  1.428073
C1-2_file_1_593_(2013_06_11-12_30_19)_BSWMUW29297 - Copy - Copy - Copy_HTC_002    HTC 44.008027
             C1-2_file_1_1121_(2013_06_12-17_16_29)_BSWMUW29297 - Copy_HTC_076    HTC  1.182585
       C1-2_file_1_716_(2013_06_11-19_11_20)_BSWMUW29297 - Copy - Copy_HTC_011    HTC  1.059410
              C1-2_file_1_488_(2013_06_11-08_01_46)_BSWMUW29297 - Copy_HTC_051    HTC  1.118095
C1-2_file_1_175_(2013_06_10-15_24_19)_BSWMUW29297 - Copy - Copy - Copy_HTC_037    HTC  1.073787
C1-2_file_1_390_(2013_06_11-05_15_32)_BSWMUW29297 - Copy - Copy - Copy_HTC_090    HTC  1.358367
       C1-2_file_1_434_(2013_06_11-06_15_01)_BSWMUW29297 - Copy - Copy_HTC_042    HTC  1.065850
              C1-2_file_1_578_(2013_06_11-11_04_56)_BSWMUW29297 - Copy_HTC_017    HTC  1.126395
              C1-2_file_1_176_(2013_06_10-15_27_43)_BSWMUW29297 - Copy_HTC_013    HTC  1.155193
C1-2_file_1_579_(2013_06_11-11_06_29)_BSWMUW29297 - Copy - Copy - Copy_HTC_014    HTC  1.010068
       C1-2_file_1_622_(2013_06_11-15_13_51)_BSWMUW29297 - Copy - Copy_HTC_067    HTC  1.015918
              C1-2_file_1_474_(2013_06_11-07_33_32)_BSWMUW29297 - Copy_HTC_041    HTC  1.129070
C1-2_file_1_475_(2013_06_11-07_41_04)_BSWMUW29297 - Copy - Copy - Copy_HTC_003    HTC  1.092517
C1-2_file_1_391_(2013_06_11-05_20_32)_BSWMUW29297 - Copy - Copy - Copy_HTC_003    HTC  1.285805
       C1-2_file_1_474_(2013_06_11-07_33_32)_BSWMUW29297 - Copy - Copy_HTC_043    HTC  2.046213
              C1-2_file_1_557_(2013_06_11-09_58_59)_BSWMUW29297 - Copy_HTC_016    HTC  1.036236
       C1-2_file_1_650_(2013_06_11-16_32_18)_BSWMUW29297 - Copy - Copy_HTC_045    HTC  1.114558
C1-2_file_1_392_(2013_06_11-05_21_45)_BSWMUW29297 - Copy - Copy - Copy_HTC_047    HTC  1.262630
       C1-2_file_1_578_(2013_06_11-11_04_56)_BSWMUW29297 - Copy - Copy_HTC_030    HTC  1.280000
       C1-2_file_1_601_(2013_06_11-12_48_44)_BSWMUW29297 - Copy - Copy_HTC_061    HTC  1.176281
              C1-2_file_1_434_(2013_06_11-06_15_01)_BSWMUW29297 - Copy_HTC_042    HTC  1.065850
       C1-2_file_1_390_(2013_06_11-05_15_32)_BSWMUW29297 - Copy - Copy_HTC_070    HTC  1.050204
C1-2_file_1_390_(2013_06_11-05_15_32)_BSWMUW29297 - Copy - Copy - Copy_HTC_073    HTC  1.073878
       C1-2_file_1_622_(2013_06_11-15_13_51)_BSWMUW29297 - Copy - Copy_HTC_047    HTC  1.277234
C1-2_file_1_175_(2013_06_10-15_24_19)_BSWMUW29297 - Copy - Copy - Copy_HTC_056    HTC  1.108209
              C1-2_file_1_390_(2013_06_11-05_15_32)_BSWMUW29297 - Copy_HTC_070    HTC  1.050204
       C1-2_file_1_392_(2013_06_11-05_21_45)_BSWMUW29297 - Copy - Copy_HTC_047    HTC  1.262630
       C1-2_file_1_411_(2013_06_11-05_44_23)_BSWMUW29297 - Copy - Copy_HTC_058    HTC  1.013016
C1-2_file_1_474_(2013_06_11-07_33_32)_BSWMUW29297 - Copy - Copy - Copy_HTC_058    HTC  1.259728
       C1-2_file_1_488_(2013_06_11-08_01_46)_BSWMUW29297 - Copy - Copy_HTC_035    HTC  1.059320
C1-2_file_1_578_(2013_06_11-11_04_56)_BSWMUW29297 - Copy - Copy - Copy_HTC_030    HTC  1.280000
C1-2_file_1_660_(2013_06_11-17_06_37)_BSWMUW29297 - Copy - Copy - Copy_HTC_056    HTC  1.123311
              C1-2_file_1_660_(2013_06_11-17_06_37)_BSWMUW29297 - Copy_HTC_060    HTC  1.024535
       C1-2_file_1_474_(2013_06_11-07_33_32)_BSWMUW29297 - Copy - Copy_HTC_058    HTC  1.259728
              C1-2_file_1_474_(2013_06_11-07_33_32)_BSWMUW29297 - Copy_HTC_037    HTC  1.181270
C1-2_file_1_390_(2013_06_11-05_15_32)_BSWMUW29297 - Copy - Copy - Copy_HTC_072    HTC  1.139909
              C1-2_file_1_175_(2013_06_10-15_24_19)_BSWMUW29297 - Copy_HTC_037    HTC  1.073787
              C1-2_file_1_475_(2013_06_11-07_41_04)_BSWMUW29297 - Copy_HTC_003    HTC  1.092517
              C1-2_file_1_558_(2013_06_11-10_00_47)_BSWMUW29297 - Copy_HTC_007    HTC  1.004263
              C1-2_file_1_474_(2013_06_11-07_33_32)_BSWMUW29297 - Copy_HTC_056    HTC  1.123311
              C1-2_file_1_474_(2013_06_11-07_33_32)_BSWMUW29297 - Copy_HTC_040    HTC  1.300408
