,n_neighbors,min_dist,RI,ARI,SIL,N_clust
0.0,,5.0,0.5170270457528824,0.03368123876017313,-0.2356252,19
0.001,,5.0,0.5217608795659097,0.04265812178279057,-0.050123416,30
0.01,,5.0,0.4922230898535201,-0.016562295448470245,-0.0030111992,24
0.1,,5.0,0.5010849760589939,0.0016367187925970111,-0.20202816,17
0.25,,5.0,0.4957862456095672,-0.00868345446341172,-0.20632966,11
1.0,,5.0,0.53312678714882,0.06682559488654484,-0.28545877,4
0.0,,10.0,0.5098625959153916,0.01876208514729851,0.0027269372,17
0.001,,10.0,0.48645989577188914,-0.028044338371118117,-0.02268193,20
0.01,,10.0,0.48093077488213637,-0.039118763605582356,-0.0042704507,17
0.1,,10.0,0.4909365611714396,-0.018590950337845608,-0.20393112,17
0.25,,10.0,0.4942727595606415,-0.011585403439812736,-0.30981725,12
1.0,,10.0,0.5179695180526609,0.036847514769840224,-0.3815451,5
0.0,,15.0,0.48916796655312555,-0.022499645179721035,-0.063977554,15
0.001,,15.0,0.5012763543006735,0.0017356636627308614,-0.061695267,16
0.01,,15.0,0.4903414534884084,-0.020041382331977935,-0.11720116,16
0.1,,15.0,0.49759266645568867,-0.005002806968955823,-0.27722478,15
0.25,,15.0,0.5327374141965703,0.06556529149460259,-0.34733748,11
1.0,,15.0,0.5344656858063634,0.06983112720259405,-0.3520851,4
0.0,,30.0,0.4782831261941634,-0.04399754414796139,-0.17914675,17
0.001,,30.0,0.49509563606424967,-0.010523140222537114,-0.114823096,16
0.01,,30.0,0.4979203689243182,-0.004721695671047471,-0.15701517,17
0.1,,30.0,0.5173606156561883,0.034398916030001586,-0.23073551,14
0.25,,30.0,0.5320009263056447,0.06416952661965285,-0.3450556,10
1.0,,30.0,0.5174222861398085,0.03574835756936004,-0.38514686,5
0.0,,50.0,0.5099928654491116,0.019741902150308865,-0.2646487,15
0.001,,50.0,0.4984112360125663,-0.003597213534522785,-0.21740896,16
0.01,,50.0,0.47975916053238854,-0.04089266184537379,-0.22466126,16
0.1,,50.0,0.5034692768012244,0.006749805033405781,-0.2654104,12
0.25,,50.0,0.544919706653234,0.09016963921013137,-0.3675221,9
1.0,,50.0,0.5071220669848814,0.014937897765364189,-0.34031954,5
0.0,,100.0,0.5366122306051635,0.07306277156831438,-0.28165075,15
0.001,,100.0,0.5130498613350412,0.025869981792316272,-0.2681736,16
0.01,,100.0,0.5219996342216255,0.043890203760983834,-0.29705647,15
0.1,,100.0,0.5443504406505861,0.08873590214765416,-0.3304305,13
0.25,,100.0,0.5248110717243953,0.04977537796049288,-0.3188024,8
1.0,,100.0,0.5280831028492637,0.056346741115545045,-0.28195956,5
0.0,,150.0,0.503147941123414,0.006218490194908698,-0.29640776,13
0.001,,150.0,0.5137437791148038,0.027464655573311195,-0.31553912,14
0.01,,150.0,0.50779189083076,0.015692367090148897,-0.33114392,12
0.1,,150.0,0.5082717096643515,0.016889052701027103,-0.3711718,9
0.25,,150.0,0.503403549048945,0.007272122136200283,-0.40527886,9
1.0,,150.0,0.5185749873756526,0.0374390829199956,-0.19718099,4
0.0,,200.0,0.5308984103621394,0.061871072510454886,-0.3415418,13
0.001,,200.0,0.5188901435211973,0.038025333053420485,-0.37512675,12
0.01,,200.0,0.5485627593921087,0.09687026609710989,-0.2223101,12
0.1,,200.0,0.5222355175795209,0.044886046305306966,-0.4007479,9
0.25,,200.0,0.5682866404130175,0.13679068299996028,-0.28842115,7
1.0,,200.0,0.5206308366150395,0.04138892942600593,-0.25386238,5
