,n_neighbors,min_dist,RI,ARI,SIL,N_clust
0.0,,5.0,0.5387393032242603,0.02742257569993235,0.61109966,18
0.001,,5.0,0.5456302614974202,0.029750125583223548,0.64518654,29
0.01,,5.0,0.4921075768190443,0.05648330635423705,0.5990918,23
0.1,,5.0,0.5078962618538114,0.02099552418349189,0.5431626,16
0.25,,5.0,0.5331834123608247,0.10493043366862345,0.5656492,10
1.0,,5.0,0.5725899139405153,0.10029264938509516,0.47344604,3
0.0,,10.0,0.5263465686452449,0.06597027008207189,0.5618111,16
0.001,,10.0,0.48258752982472836,0.056752496745888475,0.5910259,19
0.01,,10.0,0.47169044748568073,0.07188663134659548,0.5655061,16
0.1,,10.0,0.5078134350984783,0.07437486792838191,0.6150914,16
0.25,,10.0,0.5137590929243975,0.06723646858268255,0.52460814,11
1.0,,10.0,0.6449958473538654,0.24768897033599788,0.62330234,4
0.0,,15.0,0.4873659730612038,0.05183078368091839,0.5751398,14
0.001,,15.0,0.51151342158531,0.04645555093267883,0.5979835,15
0.01,,15.0,0.49402524590029956,0.05183709206065168,0.58700573,15
0.1,,15.0,0.5247763444607207,0.07707583124989345,0.6420982,14
0.25,,15.0,0.5856378825733917,0.11242088730400303,0.5752508,10
1.0,,15.0,0.5907011504665277,0.13860305132344758,0.59819776,3
0.0,,30.0,0.4737561654027014,0.04940938778738378,0.6105724,16
0.001,,30.0,0.5000271337528734,0.042053741982131985,0.5907574,15
0.01,,30.0,0.5026082521053223,0.03781320204931325,0.61675775,16
0.1,,30.0,0.537513210265362,0.043675273271303036,0.5789228,13
0.25,,30.0,0.6161000125194499,0.175168068133019,0.5631758,9
1.0,,30.0,0.6505017140855291,0.28708522409121007,0.5908946,4
0.0,,50.0,0.5324022948593184,0.04797946577983502,0.63605833,14
0.001,,50.0,0.5116594947712204,0.04504524007173374,0.6332371,15
0.01,,50.0,0.4778412542963726,0.05281690896167022,0.6297608,15
0.1,,50.0,0.5390787817237404,0.08572184665136533,0.5456739,11
0.25,,50.0,0.6053144516003123,0.07743337622210653,0.601121,8
1.0,,50.0,0.5650062307034185,0.13996476554670634,0.64660054,4
0.0,,100.0,0.5841325378077802,0.06063514077231139,0.64704096,14
0.001,,100.0,0.5405097925246497,0.04888741806561834,0.64312714,15
0.01,,100.0,0.558382800165934,0.05187913325134274,0.6441975,14
0.1,,100.0,0.6037406647529548,0.07759540015486034,0.6119897,12
0.25,,100.0,0.6432748987975395,0.25157140966379815,0.5295343,7
1.0,,100.0,0.5376844326588859,0.06161198678592554,0.39790055,4
0.0,,150.0,0.540454704884285,0.09267916878486562,0.60390484,12
0.001,,150.0,0.5522215315595314,0.06821430178289113,0.6526873,13
0.01,,150.0,0.5430839113580841,0.07645684682066438,0.6420055,11
0.1,,150.0,0.5702556158017041,0.12889954539980608,0.6615835,8
0.25,,150.0,0.5651205782895332,0.12940067290780427,0.6425121,8
1.0,,150.0,0.5929384430740562,0.18309907879434462,0.4761245,3
0.0,,200.0,0.5818339587242026,0.06912341947649293,0.65756625,12
0.001,,200.0,0.571662370058944,0.08090533635937347,0.6943788,11
0.01,,200.0,0.5571836855891492,0.00960342713398285,0.5954869,11
0.1,,200.0,0.5946761189880456,0.12851555722235103,0.6572291,8
0.25,,200.0,0.5953668953772371,0.0803026723216914,0.6667796,6
1.0,,200.0,0.6189747374396821,0.23437907947309522,0.49273044,4
